#Test Display Name;                Path(Test Class Name)/Parameters;            Expected Result
101Test;AutomaticTest101/;101
GetToken test with default scope;GetTokenTest/;Success
GetToken test with scope and user-pass;GetTokenTest/?scope=usernamePassword&userName=a&password=a;Success
GetToken test with scope and invalid user-pass;GetTokenTest/?scope=usernamePassword&userName=aa&password=a;Failure {  "failures": {    "usernamePassword": {      "failure": "account blocked"    }  }}
Get Ressource test with user-pass;GetRessourcesTest/?scope=usernamePassword&userName=a&password=a;Success
Get Ressource test with invalid user-pass;GetRessourcesTest/?scope=usernamePassword&userName=a&password=b;Failure {  "failures": {    "usernamePassword": {      "failure": "account blocked"    }  }}
Pinning negative test;PinningTest/?testName=PinningFailure;Success
Pinning success test;PinningTest/?testName=PinningSuccess;Success
Send String test;SendRequestsTest/?type=string&scope=usernamePassword&userName=a&password=a;Success
Send Hash test;SendRequestsTest/?type=hash&scope=usernamePassword&userName=a&password=a;Success
Send JSON test;SendRequestsTest/?type=json&scope=usernamePassword&userName=a&password=a;Success
Send byte array test;SendRequestsTest/?type=byte&scope=usernamePassword&userName=a&password=a;Success
Send error test;SendRequestsTest/?type=error&scope=usernamePassword&userName=a&password=a;Failure Service not found
Send byte array test;SendRequestsTest/?type=byte&scope=usernamePassword&userName=a&password=a;Success
Test Set Headers;SendHeadersTest/?type=setHeaders;Success
Test Add Header;SendHeadersTest/?type=addHeader;Success
Test Remove Headers;SendHeadersTest/?type=removeHeaders;Success
Test Get All Headers Headers;SendHeadersTest/?type=getAllHeaders;Success
Test Get Headers;SendHeadersTest/?type=getHeaders;Success
Test Add Same Header;SendHeadersTest/?type=addSameHeader;Success
